model,horizon,MAE,RMSE
B5_LightGBM_deep_residual,23,22.258251190185547,29.97468210645131
B5_LightGBM_deep_residual,24,21.54840850830078,29.10882040366749
B5_LightGBM_deep_residual_optimized,1,13.471092741959355,17.74760757187144
B5_LightGBM_deep_residual_optimized,2,18.780334101413885,24.51233049212204
B5_LightGBM_deep_residual_optimized,3,22.60973477180407,29.797542175151776
B5_LightGBM_deep_residual_optimized,4,25.858621565071527,34.2592741030777
B5_LightGBM_deep_residual_optimized,5,28.92689412149025,38.24542645995806
B5_LightGBM_deep_residual_optimized,6,31.85904007813517,41.96407632721802
B5_LightGBM_deep_residual_optimized,7,34.4471934598765,45.13756160779358
B5_LightGBM_deep_residual_optimized,8,36.13229523591261,47.26215653453967
B5_LightGBM_deep_residual_optimized,9,37.18700544050715,47.9881656460831
B5_LightGBM_deep_residual_optimized,10,37.50235056759312,48.372005237120504
B5_LightGBM_deep_residual_optimized,11,37.705400816450215,48.997730951233855
B5_LightGBM_deep_residual_optimized,12,38.01063973579584,49.524856065414205
B5_LightGBM_deep_residual_optimized,13,38.97780485861662,50.49341913950306
B5_LightGBM_deep_residual_optimized,14,38.77286836754365,50.421152001709615
B5_LightGBM_deep_residual_optimized,15,38.05469517564418,49.33282963783545
B5_LightGBM_deep_residual_optimized,16,37.74396349996664,48.82724112184356
B5_LightGBM_deep_residual_optimized,17,36.37149982237074,47.04606291561619
B5_LightGBM_deep_residual_optimized,18,34.11383433034098,44.477392809648336
B5_LightGBM_deep_residual_optimized,19,31.752903981428272,41.75575373329036
B5_LightGBM_deep_residual_optimized,20,29.29502030808,38.53438455613368
B5_LightGBM_deep_residual_optimized,21,27.299646788031893,35.87493009042057
B5_LightGBM_deep_residual_optimized,22,25.341577248520082,33.39487479835266
B5_LightGBM_deep_residual_optimized,23,22.546767205074104,30.24608850881137
B5_LightGBM_deep_residual_optimized,24,21.709628140581504,29.27241045780819
B1_seasonal_residual_threshold_tuned,1,23.236303329467773,30.613751521604836
B1_seasonal_residual_threshold_tuned,2,22.755746841430664,30.260262253980674
B1_seasonal_residual_threshold_tuned,3,20.02416229248047,27.01055362861374
B1_seasonal_residual_threshold_tuned,4,34.71240234375,45.43221792716321
B1_seasonal_residual_threshold_tuned,5,26.072786331176758,34.0970438372229
B1_seasonal_residual_threshold_tuned,6,23.48063850402832,30.93500917214134
B1_seasonal_residual_threshold_tuned,7,22.94613265991211,30.458693252155552
B1_seasonal_residual_threshold_tuned,8,25.016456604003906,33.02577266554486
B1_seasonal_residual_threshold_tuned,9,25.667707443237305,34.00552143816133
B1_seasonal_residual_threshold_tuned,10,23.925506591796875,31.558188327093195
B1_seasonal_residual_threshold_tuned,11,22.52113914489746,29.89332229400803
B1_seasonal_residual_threshold_tuned,12,27.16985511779785,35.47789151193758
B1_seasonal_residual_threshold_tuned,13,24.92245864868164,32.90572322702769
B1_seasonal_residual_threshold_tuned,14,26.98912239074707,35.49038437115749
B1_seasonal_residual_threshold_tuned,15,23.817838668823242,31.59201319719214
B1_seasonal_residual_threshold_tuned,16,24.596826553344727,32.50425715807758
B1_seasonal_residual_threshold_tuned,17,23.50887680053711,30.93952408151465
B1_seasonal_residual_threshold_tuned,18,23.894136428833008,31.55222991946251
B1_seasonal_residual_threshold_tuned,19,22.593345642089844,30.034913156205086
B1_seasonal_residual_threshold_tuned,20,23.468515396118164,30.883951843073977
B1_seasonal_residual_threshold_tuned,21,22.499053955078125,29.73494050795661
B1_seasonal_residual_threshold_tuned,22,25.337953567504883,33.42366828405434
B1_seasonal_residual_threshold_tuned,23,24.58519744873047,32.03374609176821
B1_seasonal_residual_threshold_tuned,24,23.502239227294922,31.102030539997504
B3_reduced_HMM_features_threshold_tuned,1,30.777921676635742,39.20810674803904
B3_reduced_HMM_features_threshold_tuned,2,69.45753479003906,92.85633960418373
B3_reduced_HMM_features_threshold_tuned,3,36.67898178100586,47.71258453129793
B3_reduced_HMM_features_threshold_tuned,4,41.47311782836914,54.493519808981645
B3_reduced_HMM_features_threshold_tuned,5,43.32729721069336,57.839533375484194
B3_reduced_HMM_features_threshold_tuned,6,50.70920181274414,66.18298497348091
B3_reduced_HMM_features_threshold_tuned,7,49.61140441894531,65.210592595979
B3_reduced_HMM_features_threshold_tuned,8,58.4012565612793,72.16906555746375
B3_reduced_HMM_features_threshold_tuned,9,53.49844741821289,67.98174803876589
B3_reduced_HMM_features_threshold_tuned,10,53.60071563720703,68.46391827429066
B3_reduced_HMM_features_threshold_tuned,11,43.86149978637695,58.69144355760046
B3_reduced_HMM_features_threshold_tuned,12,47.619041442871094,62.29529366879371
